geoname;latitud;longitud
3427200;-3.796.613;-579.467
3427201;-2.863.333;-5.611.667
3427202;-3.216.667;-59.5
3427203;-3.151.553;-5.855.208
3427204;-2.843.825;-5.608.838
3427205;-2.783.789;-5.608.614
3427206;-3.554.257;-588.862
3427207;-3.154.366;-5.876.864
3427208;-3.437.014;-5.887.109
3427209;-3.213.507;-5.985.856
3427210;-3.025.772;-5.913.549
3427211;-2.567.826;-5.783.351
3427212;-34;-5.916.667
3427213;-3.409.814;-5.902.858
3427214;-2.692.576;-5.874.723
3427215;-3.505.902;-5.904.098
3427216;-3.498.057;-5.772.107
3427217;-2.561.614;-5.778.634
3427218;-3.816.667;-5.988.333
3427219;-3.733.792;-5.817.121
3427220;-2.706.667;-58.7
3427221;-2.739.531;-5.587.936
3427222;-3.870.925;-593.465
3427223;-3.818.864;-5.940.333
3427224;-2.955.807;-5.757.134
3427225;-2.957.767;-575.335
3427226;-2.845.873;-5.906.266
3427227;-287.948;-5.673.713
3427228;-2.872.268;-5.682.921
3427229;-2.671.667;-5.683.333
3427230;-2.526.893;-5.969.306
3427231;-2.879.171;-5.810.871
3427232;-3.142.442;-5.804.767
3427233;-3.145.287;-5.808.358
3427234;-2.906.417;-5.775.651
3427235;-2.940.325;-5.757.922
3427236;-291.763;-5.761.982
3427237;-3.138.281;-5.812.133
3427238;-2.887.822;-5.803.872
3427239;-2.460.915;-5.938.603
3427240;-2.845.168;-5.675.475
3427241;-2.981.008;-5.783.142
3427242;-29.9;-57.7
3427243;-381.388;-5.798.779
3427244;-2.869.234;-5.756.352
3427245;-2.468.274;-5.912.593
3427246;-2.837.207;-5.588.715
3427247;-308.915;-5.940.993
3427248;-3.093.666;-5.946.634
3427249;-3.149.837;-581.775
3427250;-3.692.891;-5.753.898
3427251;-3.693.396;-5.756.589
3427252;-314.171;-5.842.208
3427253;-2.767.465;-5.634.857
3427254;-316.035;-579.902
3427255;-3.147.165;-5.826.282
3427256;-2.850.123;-5.907.117
3427257;-27.4;-54.95
3427258;-2.749.279;-551.703
3427259;-2.573.333;-54.45
3427260;-2.800.541;-5.585.232
3427261;-2.698.333;-5.448.333
3427262;-2.711.667;-5.413.333
3427263;-3.381.935;-5.972.616
3427264;-3.771.035;-5.963.208
3427265;-2.787.197;-5.735.793
3427266;-2.972.429;-5.760.398
3427267;-2.566.667;-5.441.667
3427268;-2.865.886;-5.822.036
3427269;-2.959.876;-5.721.651
3427270;-321.251;-5.948.013
3427271;-2.883.495;-5.819.355
3427272;-2.713.311;-5.879.536
3427273;-2.901.913;-5.890.846
3427274;-2.583.049;-5.458.502
3427275;-3.108.333;-5.838.333
3427276;-2.550.137;-5.986.724
3427277;-2.943.333;-5.686.667
3427278;-2.946.575;-5.694.116
3427279;-2.946.914;-5.681.841
3427280;-2.888.015;-5.669.418
3427281;-3.685.472;-576.732
3427282;-3.686.548;-5.770.213
3427283;-3.683.333;-5.768.333
3427284;-2.539.899;-5.927.331
3427285;-3.557.556;-5.790.436
3427286;-3.556.667;-5.891.667
3427287;-2.737.336;-576.551
3427288;-2.928.333;-5.953.333
3427289;-2.835.183;-558.638
3427290;-2.663.333;-5.403.333
3427291;-2.974.121;-576.175
3427292;-2.578.333;-5.828.333
3427293;-2.791.667;-57.55
3427294;-2.846.841;-5.812.676
3427295;-2.584.559;-5.833.904
3427296;-2.555.944;-5.787.009
3427297;-2.553.333;-5.833.333
3427298;-2.939.495;-5.956.508
3427299;-3.017.335;-5.912.826
3427300;-2.544.687;-5.906.623
3427301;-2.507.879;-581.764
3427302;-27.15;-5.463.333
3427303;-267.786;-5.934.336
3427304;-2.801.667;-5.758.333
3427305;-2.491.497;-5.920.624
3427306;-2.558.641;-5.417.489
3427307;-2.623.435;-5.463.682
3427308;-2.574.047;-5.405.748
3427309;-29.45;-5.696.667
3427310;-2.581.667;-5.456.667
3427311;-2.741.866;-5.619.885
3427312;-2.958.515;-5.796.726
3427313;-2.548.521;-5.928.267
3427314;-2.986.667;-58.75
3427315;-2.548.802;-592.749
3427316;-2.895.329;-5.670.303
3427317;-304.888;-5.954.679
3427318;-2.895.651;-566.646
3427319;-2.705.786;-538.842
3427320;-26.95;-5.413.333
3427321;-2.661.667;-5.398.333
3427322;-2.731.277;-5.558.617
3427323;-2.855.483;-5.672.433
3427324;-2.483.997;-5.914.866
3427325;-3.457.881;-5.865.601
3427326;-3.469.467;-5.831.287
3427327;-2.596.879;-5.456.285
3427328;-3.141.667;-58.55
3427329;-2.812.377;-5.623.286
3427330;-3.359.511;-5.981.596
3427331;-3.417.887;-588.602
3427332;-3.413.704;-5.898.399
3427333;-38.229;-5.772.885
3427334;-3.784.418;-5.808.762
3427335;-337.947;-592.406
3427336;-3.112.233;-5.976.517
3427337;-3.770.888;-5.757.526
3427338;-37.7;-5.756.667
3427339;-3.773.871;-5.742.945
3427340;-3.766.387;-5.766.633
3427341;-257.866;-5.930.411
3427342;-2.861.082;-5.622.947
3427343;-3.572.448;-5.786.048
3427344;-3.551.339;-5.809.875
3427345;-3.552.755;-5.811.612
3427346;-355.127;-5.814.456
3427347;-3.661.667;-5.691.667
3427348;-2.806.277;-5.639.706
3427349;-2.554.184;-5.799.933
3427350;-2.500.258;-5.855.366
3427351;-354.784;-5.777.789
3427352;-3.498.954;-5.762.761
3427353;-2.871.936;-5.684.368
3427354;-3.446.326;-5.857.464
3427355;-3.308.342;-588.063
3427356;-312.418;-5.939.817
3427357;-2.678.837;-5.858.553
3427358;-2.583.333;-5.996.667
3427359;-3.525.219;-5.724.665
3427360;-2.553.082;-5.758.378
3427361;-3.132.236;-5.801.384
3427362;-3.455.125;-5.853.768
3427363;-2.728.333;-5.461.667
3427364;-2.839.933;-5.668.902
3427365;-2.748.617;-5.514.633
3427366;-3.466.072;-5.844.387
3427367;-3.470.125;-5.838.319
3427368;-3.679.245;-5.904.643
3427369;-3.218.017;-5.893.032
3427370;-3.221.106;-5.821.871
3427371;-3.464.964;-5.875.587
3427372;-28.1;-5.588.333
3427373;-3.477.233;-5.820.366
3427374;-2.778.333;-5.523.333
3427375;-3.482.844;-5.894.036
3427376;-2.913.962;-5.798.151
3427377;-3.441.657;-5.887.116
3427378;-2.527.299;-5.923.829
3427379;-3.468.967;-5.847.132
3427380;-3.785.965;-579.835
3427381;-346.558;-5.869.997
3427382;-3.470.576;-584.761
3427383;-3.462.077;-585.224
3427384;-2.506.225;-5.854.183
3427385;-3.459.097;-5.852.773
3427386;-3.371.381;-5.865.844
3427387;-3.457.973;-5.846.829
3427388;-2.848.752;-5.935.515
3427389;-3.491.902;-5.840.982
3427390;-325.258;-5.893.459
3427391;-2.906.323;-5.860.969
3427392;-3.616.846;-5.800.809
3427393;-3.602.857;-5.848.154
3427394;-3.567.502;-5.843.456
